Title,Publisher 1,Publisher 2,Publisher 3,Publisher 4,Publisher 5
Fief,Eurogames,International Team (I),N/A,N/A,N/A
Telepaths,Albi,Albi Polska,"Brainstorm Games, Inc.",Fun Connection,Outset Media
DIE in the Dungeon!,FunDaMental Games,N/A,N/A,N/A,N/A
Das Bankett: Teil 1 – Der Raub des Diamanten von Ramanpur,MAGNIFICUM,N/A,N/A,N/A,N/A
Endurance,Hollandspiele,N/A,N/A,N/A,N/A
Hungarian Nightmare,Against the Odds,"LPS, Inc.",N/A,N/A,N/A
Stress Botics,2Tomatoes Games,Token Synapse,N/A,N/A,N/A
Suleiman the Magnificent,Against the Odds,"LPS, Inc.",N/A,N/A,N/A
Second World War at Sea: Leyte Gulf,Avalanche Press Ltd.,N/A,N/A,N/A,N/A
Battles of the English Civil War: A Solitaire Wargame,(Self-Published),N/A,N/A,N/A,N/A
Manimals,Adlung-Spiele,N/A,N/A,N/A,N/A
Sherlock Junior: Suriguri,Enigma Studio,GDM Games,Lifestyle Boardgames Ltd,N/A,N/A
The Confederate Rebellion,White Dog Games,N/A,N/A,N/A,N/A
Monsieur Carrousel,LOKI,Mancalamaro,N/A,N/A,N/A
Conspiracy!,Shoot Again Games,N/A,N/A,N/A,N/A
Rolling Empires,Fongomongo Games,N/A,N/A,N/A,N/A
Ghosts of the Jungle: A Solitaire Wargame,(Self-Published),N/A,N/A,N/A,N/A
Nature of the Beast: Farm vs. Forest,"Eye-Level Entertainment, LLP",N/A,N/A,N/A,N/A
Insecta,Fat Messiah Games,Sierra Madre Games,N/A,N/A,N/A
Zona Alfa: Salvage and Survival in the Exclusion Zone,Osprey Games,Osprey Publishing,N/A,N/A,N/A
A Blood-Red Banner: The Alamo,Victory Point Games,N/A,N/A,N/A,N/A
The Lords of Rock,(Self-Published),SolarFlare Games,N/A,N/A,N/A
Black Hole Council,Orange Machine Games,N/A,N/A,N/A,N/A
Black Souls,Medieval Lords,N/A,N/A,N/A,N/A
Tavern Tales: Legends of Dungeon Drop,Phase Shift Games,N/A,N/A,N/A,N/A
Victory at Waterloo,Attactix Adventure Games,N/A,N/A,N/A,N/A
Dôjima,ABBA Games,N/A,N/A,N/A,N/A
Loading,Lumberjacks Studio,N/A,N/A,N/A,N/A
"Belisarius's War: The Roman Reconquest of Africa, AD 533-534",Decision Games (I),N/A,N/A,N/A,N/A
Pictionary Mania,"Mattel, Inc.",N/A,N/A,N/A,N/A
Le Temps des As,Histoire & Collections,Vae Victis,N/A,N/A,N/A
Waving Hands,(Web published),RavenBlack Games,N/A,N/A,N/A
Epic Spell Wars of the Battle Wizards: Hijinx at Hell High,Cryptozoic Entertainment,Hobby World,N/A,N/A,N/A
Epées et Hallebardes 1315-1476,Vae Victis,N/A,N/A,N/A,N/A
Orconomics (Second Edition),Economicus Games,Igrology,N/A,N/A,N/A
BrikWars,(Web published),N/A,N/A,N/A,N/A
Fruit Picking,"Korea Boardgames Co., Ltd.",N/A,N/A,N/A,N/A
Lose Your Shirt,Murfett,Waddingtons,N/A,N/A,N/A
Big Bang 13.7,Invedars,N/A,N/A,N/A,N/A
Monsters Ravage America,The Avalon Hill Game Co,N/A,N/A,N/A,N/A
Matterhorn,Gen-X Games,Helvetiq,N/A,N/A,N/A
Cult of the Deep,B.A. Games,N/A,N/A,N/A,N/A
Aztec,Matagot,N/A,N/A,N/A,N/A
Red Steel: Clash Of Armor At Kishinev,Avalanche Press Ltd.,N/A,N/A,N/A,N/A
Rick and Morty: The Rickshank Rickdemption Deck-Building Game,Cryptozoic Entertainment,N/A,N/A,N/A,N/A
The Incredibles: Save the Day Game,Wonder Forge,N/A,N/A,N/A,N/A
Guns of the Askari,Against the Odds,"LPS, Inc.",N/A,N/A,N/A
The Refuge: A Race for Survival,B&B Games Studio,N/A,N/A,N/A,N/A
Wizards Cup,Jelly Jelly Games,N/A,N/A,N/A,N/A
Central America,Victory Games (I),N/A,N/A,N/A,N/A
Det dårlige selskab,(Self-Published),Det Dårlige Selskab,N/A,N/A,N/A
Das Labyrinth des Pharao,Krimsus Krimskrams-Kiste,N/A,N/A,N/A,N/A
Yum Yum Island,Space Cow,N/A,N/A,N/A,N/A
Pitch'n Dunk,(Self-Published),IF Association,N/A,N/A,N/A
Battlewagon,"Amarillo Design Bureau, Inc.",Task Force Games,N/A,N/A,N/A
Cubed: Next Level Dominoes,Friendly Rabbit Inc,N/A,N/A,N/A,N/A
Veritas,Cheapass Games,N/A,N/A,N/A,N/A
Flying Carpet,juegos EDUCA,N/A,N/A,N/A,N/A
Unfinished Case of Holmes,Asmodee,Hobby World,iDventure,N/A,N/A
Forks,Radical 8 Games,N/A,N/A,N/A,N/A
Risk: The Dalek Invasion of Earth,Hasbro,The Op,N/A,N/A,N/A
GoTown,Helvetiq,HRAS,Mandoo Games,Siam Board Games,N/A
World Exchangers,EmperorS4,N/A,N/A,N/A,N/A
Crisis: Sinai 1973,GMT Games,N/A,N/A,N/A,N/A
Battleground Fantasy Warfare: Lizardmen,Your Move Games,N/A,N/A,N/A,N/A
"Ignorant Armies: The Iran-Iraq War, 1980-88",Decision Games (I),N/A,N/A,N/A,N/A
*Star,Kadon Enterprises,N/A,N/A,N/A,N/A
Warlord,Reaper Miniatures,N/A,N/A,N/A,N/A
French Toast,Blue Beard Entertainment,N/A,N/A,N/A,N/A
Tesseract,Giochi Uniti,Stratelibri,N/A,N/A,N/A
Connection Games,"A. K. Peters, Ltd.",N/A,N/A,N/A,N/A
Splut!,(Web published),Print & Play Productions,N/A,N/A,N/A
Pole Position,Kärnan,Kirjalito,Piatnik,N/A,N/A
24h,Zacatrus,N/A,N/A,N/A,N/A
Moorland,Deep Print Games,N/A,N/A,N/A,N/A
"Eylau: Napoleon's Winter Battle, 1807",Game Designers' Workshop (GDW Games),N/A,N/A,N/A,N/A
Sherwood Forest,eggertspiele,Filosofia Éditions,Rio Grande Games,Smart Ltd,N/A
Der HeidelBÄR,Heidelberger Spieleverlag,N/A,N/A,N/A,N/A
Storm Over Taierzhuang,Against the Odds,Firefight Games,"LPS, Inc.",N/A,N/A
Golfie,Les Éditions Momentum,N/A,N/A,N/A,N/A
Paletto,Clemens Gerhards,N/A,N/A,N/A,N/A
Operation Olympic: The Invasion of Japan 1 November 1945,Decision Games (I),"SPI (Simulations Publications, Inc.)",N/A,N/A,N/A
Embers of Memory: A Throne of Glass Game,FoxGames,Osprey Games,N/A,N/A,N/A
It's a Bomb!,GateOnGames,N/A,N/A,N/A,N/A
Christmas Lights: A Card Game,25th Century Games,N/A,N/A,N/A,N/A
18PA,"Deep Thought Games, LLC",Golden Spike Games,N/A,N/A,N/A
Silver & Gold Pyramids,Nürnberger-Spielkarten-Verlag,N/A,N/A,N/A,N/A
Blacksmith Brothers,Ludofy Creative,N/A,N/A,N/A,N/A
Charty Party,Charty Party LLC,N/A,N/A,N/A,N/A
1862,(Self-Published),N/A,N/A,N/A,N/A
Ligny: The Incomplete Victory,"SPI (Simulations Publications, Inc.)",N/A,N/A,N/A,N/A
Corsairs of Valeria,Daily Magic Games,N/A,N/A,N/A,N/A
Cthulhu: Rise of the Cults,REDIMP GAMES,N/A,N/A,N/A,N/A
Tri-Ba-Lance,Alga,Goliath Games,Theta,N/A,N/A
"Brute Force: The War in the West, 1940-1945",Clash of Arms Games,N/A,N/A,N/A,N/A
Bruti,Rulez Srl.,N/A,N/A,N/A,N/A
Yomi Starter Set: Grave versus Jaina,Pegasus Spiele,N/A,N/A,N/A,N/A
50 Clues: Keepers of Evil,Norsker Games,N/A,N/A,N/A,N/A
TTMC 2: Tu Te Re-Mets Combien?,Les Editions de base,N/A,N/A,N/A,N/A
Manno Monster,KOSMOS,Lautapelit.fi,MINDOK,N/A,N/A
Magic: The Gathering – Duel Decks: Nissa vs. Ob Nixilis,Wizards of the Coast,N/A,N/A,N/A,N/A
Infinities: Defiance of Fate,Vatal Entertainment Studio,N/A,N/A,N/A,N/A
Kittens in a Blender,Closet Nerd Games,N/A,N/A,N/A,N/A
Namibia,Mücke Spiele,N/A,N/A,N/A,N/A
Triggs,Nürnberger-Spielkarten-Verlag,N/A,N/A,N/A,N/A
Deblockle,Project Genius,N/A,N/A,N/A,N/A
Newsboys,Saashi & Saashi,N/A,N/A,N/A,N/A
Heroes of Might & Magic III: The Board Game,Archon Studio,N/A,N/A,N/A,N/A
The King Commands,Albi,Z-Man Games,N/A,N/A,N/A
"Jacob Marley, Esq.",Cheapass Games,N/A,N/A,N/A,N/A
Critters Below,Antler Games,N/A,N/A,N/A,N/A
Niki Lauda's Formel 1,ASS Altenburger Spielkarten,N/A,N/A,N/A,N/A
Queen Bee,Elixir Games,N/A,N/A,N/A,N/A
Hansel & Gretel,Granna,N/A,N/A,N/A,N/A
Kriegbot,Sierra Madre Games,N/A,N/A,N/A,N/A
Redcliff Bay Mysteries,KOSMOS,N/A,N/A,N/A,N/A
Baby Clues,Jumping Turtle Games,N/A,N/A,N/A,N/A
Galopp Royal,Goldsieber Spiele,N/A,N/A,N/A,N/A
"War in the Ice: The Battle for the Seventh Continent, 1991-92","SPI (Simulations Publications, Inc.)",N/A,N/A,N/A,N/A
Magic Fold,Happy Baobab,N/A,N/A,N/A,N/A
Bite and Write: The Treaty of Rodentia,Cacahuete Games,N/A,N/A,N/A,N/A
APBA Pro Football,APBA International,N/A,N/A,N/A,N/A
The Great Redoubt: A Game of the Battle of Borodino – 1812,Yaquinto,N/A,N/A,N/A,N/A
Sushi Boat,Japanime Games,N/A,N/A,N/A,N/A
Rogue Dungeon,Cerberus Gate Games,N/A,N/A,N/A,N/A
Dragon Boats of the Four Seas,Maple Games,N/A,N/A,N/A,N/A
Fluxx Remixx,Looney Labs,N/A,N/A,N/A,N/A
Senseï,Ferti,N/A,N/A,N/A,N/A
Give Me Five,Cocktail Games,Paris est Ludique,Rebel Sp. z o.o.,N/A,N/A
Caligula,ElfinWerks,Post Scriptum,N/A,N/A,N/A
Ortus,FableSmith,Game Fabrica,Tailor Games,N/A,N/A
Genpei,Invedars,N/A,N/A,N/A,N/A
"Kursk: History's Greatest Tank Battle, July 1943",Six Angles,"SPI (Simulations Publications, Inc.)",N/A,N/A,N/A
Battleground World War II,(Self-Published),Easy Eight,N/A,N/A,N/A
Dȗhr: The Lesser Houses,Devious Weasel Games,N/A,N/A,N/A,N/A
Exceed: BlazBlue – Jin Box,Level 99 Games,N/A,N/A,N/A,N/A
Terminus,Inside Up Games,N/A,N/A,N/A,N/A
Assyrian Wars,Udo Grebe Gamedesign,N/A,N/A,N/A,N/A
Guildes,Bad Taste Games,N/A,N/A,N/A,N/A
La Bataille d'Austerlitz,Marshal Enterprises,N/A,N/A,N/A,N/A
Megapulse,Orion Games,N/A,N/A,N/A,N/A
Mozzaroller,Piatnik,N/A,N/A,N/A,N/A
Jacynth,(Web published),N/A,N/A,N/A,N/A
The Same Game,Edition Spielwiese,N/A,N/A,N/A,N/A
On the Cards,Surprised Stare Games Ltd,N/A,N/A,N/A,N/A
Cave Paintings,R&R Games,N/A,N/A,N/A,N/A
Havok & Hijinks,Epic Slant Press LLC,N/A,N/A,N/A,N/A
Queen by Midnight,Darrington Press,N/A,N/A,N/A,N/A
Farm Rescue,Brain Games,N/A,N/A,N/A,N/A
Heat,Asmadi Games,N/A,N/A,N/A,N/A
The Devil's to Pay! The First Day at Gettysburg,Tiny Battle Publishing,N/A,N/A,N/A,N/A
The Girl Who Made The Stars,Final Frontier Games,N/A,N/A,N/A,N/A
Capital City,Calliope Games,N/A,N/A,N/A,N/A
Gear & Piston,LudiCreations,N/A,N/A,N/A,N/A
Ravenous River,Alderac Entertainment Group,N/A,N/A,N/A,N/A
Overlords of Infamy,Obscure Reference Games,N/A,N/A,N/A,N/A
Star Viking,(Web published),Dwarfstar Games,Heritage USA,N/A,N/A
Dorfromantik: Das Duell,Pegasus Spiele,N/A,N/A,N/A,N/A
Dungeons & Dragons: Bedlam in Neverwinter,Hasbro,N/A,N/A,N/A,N/A
Doggy Bag,Arclight Games,BLAM !,GDM Games,Mancalamaro,N/A
Stories!,Schmidt Spiele,N/A,N/A,N/A,N/A
Hoax,Eon,Hexagames (I),N/A,N/A,N/A
Sid Meier's Civilization: The Card Game,"2K Games, Inc.",N/A,N/A,N/A,N/A
Xenofera,Puff Duck Games,N/A,N/A,N/A,N/A
Clue: Game of Thrones,Hasbro,HBO (Home Box Office),The Op,Winning Moves Australia Pty Ltd,N/A
Volley & Bayonet,Game Designers' Workshop (GDW Games),On Military Matters,N/A,N/A,N/A
The Lord of the Rings: The Two Towers,Games Workshop Ltd.,N/A,N/A,N/A,N/A
Creepy Falls,Intrafin Games,uplay.it edizioni,N/A,N/A,N/A
Cultistorm,Purple Meeple Games,N/A,N/A,N/A,N/A
Warzone: Universe Under Siege,Excelsior Entertainment,N/A,N/A,N/A,N/A
"Warhammer 40,000: Apocalypse",Games Workshop Ltd.,N/A,N/A,N/A,N/A
Australian Railways,Winsome Games,N/A,N/A,N/A,N/A
Dracula: Walpurgis Night,Invedars,N/A,N/A,N/A,N/A
KAITŌ,Steffen-Spiele,N/A,N/A,N/A,N/A
Time Capsules,Red Cat Games,N/A,N/A,N/A,N/A
Guerra De Mitos III,GDM Games,N/A,N/A,N/A,N/A
NEON,Hobby World,N/A,N/A,N/A,N/A
High-Bid,3M,The Avalon Hill Game Co,Casper,N/A,N/A
Zestrea,Valiant Game Studio AB,N/A,N/A,N/A,N/A
Crossroll Hong Kong,NightDreamer,N/A,N/A,N/A,N/A
Leonardo da Vinci's Codex Leicester,DiceTree Games,N/A,N/A,N/A,N/A
Statis Pro Baseball Great Teams,The Avalon Hill Game Co,N/A,N/A,N/A,N/A
Visby,OSTIA Spiele,N/A,N/A,N/A,N/A
An Age Contrived,Bellows Intent,N/A,N/A,N/A,N/A
Deluxe G.E.V.,Steve Jackson Games,N/A,N/A,N/A,N/A
Corruption,Atlas Games,Descartes Editeur,N/A,N/A,N/A
100 Swords: The Gold King's Dungeon,Laboratory Games,N/A,N/A,N/A,N/A
SCOPE U-boot,Draco Ideas,N/A,N/A,N/A,N/A
Get to da Checkpoint,Great Games,N/A,N/A,N/A,N/A
Zombie Kidz,Le Scorpion Masqué,N/A,N/A,N/A,N/A
Bermuda Pirates,FoxMind,N/A,N/A,N/A,N/A
Lumeria: War of the Gods,Cube Factory of Ideas,N/A,N/A,N/A,N/A
MEOW,Cranio Creations,N/A,N/A,N/A,N/A
French and Indian War 1757-1759,"Worthington Publishing, LLC",N/A,N/A,N/A,N/A
Cairo Corridor,nestorgames,N/A,N/A,N/A,N/A
Ready to Rock!,(Self-Published),N/A,N/A,N/A,N/A
Clue,Hasbro,N/A,N/A,N/A,N/A
Bushido: Risen Sun,GCT Studios,N/A,N/A,N/A,N/A
Unlock!: Short Adventures – Doo-Arann's Dungeon,Space Cowboys,N/A,N/A,N/A,N/A
Monster Mash,CEFA (Celulosa Fabril S. A.),"International Playthings, Inc.",MB Spiele,Milton Bradley,N/A
Insert Coin to play,Little Rocket Games,N/A,N/A,N/A,N/A
Black Hat,Dragon Dawn Productions,N/A,N/A,N/A,N/A
Age of Craft,Chicken Dice Games (チキンダイスゲームズ),Southern Cross Games (サザンクロスゲームズ),N/A,N/A,N/A
Tannenberg: The Introductory Game,SPW (Schroeder Publishing & Wargames),N/A,N/A,N/A,N/A
Rainforest City,Origame,N/A,N/A,N/A,N/A
Tribes,Steve Jackson Games,N/A,N/A,N/A,N/A
Slash: Romance without boundaries,(Web published),Games by Play Date,N/A,N/A,N/A
Volta,Edition Perlhuhn (Göttinger Spiele),N/A,N/A,N/A,N/A
"Viking: Tactical Warfare in the Dark Ages, 700-1300","SPI (Simulations Publications, Inc.)",N/A,N/A,N/A,N/A
An Army at Dawn: Tunisia 1942-1943 – A Panzer Grenadier Game,Avalanche Press Ltd.,N/A,N/A,N/A,N/A
Gloomier: A Night at Hemlock Hall,Atlas Games,N/A,N/A,N/A,N/A
Zefiria,Playagame Edizioni,N/A,N/A,N/A,N/A
Dragon Noir 2: L'Epreuve,Eurogames,N/A,N/A,N/A,N/A
Gobi,Capsicum Games,N/A,N/A,N/A,N/A
Adventure Time Card Wars: Fionna vs Cake,Cryptozoic Entertainment,N/A,N/A,N/A,N/A
Star Trek Red Alert!,Last Unicorn Games,N/A,N/A,N/A,N/A
Space Battle Lunchtime Card Game,Oni Games (I),Renegade Game Studios,N/A,N/A,N/A
Star Smuggler,(Web published),Dwarfstar Games,Heritage USA,N/A,N/A
Die Tore der Welt: Das Kartenspiel,KOSMOS,N/A,N/A,N/A,N/A
Forwarder of Xanadu,Manifest Destiny,N/A,N/A,N/A,N/A
Anno Domini: Kuriositäten,ABACUSSPIELE,Fata Morgana Spiele,N/A,N/A,N/A
Irish Freedom,White Dog Games,N/A,N/A,N/A,N/A
Smoke & Mirrors,Button Shy,N/A,N/A,N/A,N/A
Regnum Angelica,Black Locust Games,N/A,N/A,N/A,N/A
Argoat,Domina Games,N/A,N/A,N/A,N/A
Innovation Ultimate,Asmadi Games,N/A,N/A,N/A,N/A
10 Negritos,Peká Editorial,N/A,N/A,N/A,N/A
Corruptia,ZXG,N/A,N/A,N/A,N/A
Warzoo,Ace Studios,Galápagos Jogos,N/A,N/A,N/A
Volle Scholle,KOSMOS,Magellan,N/A,N/A,N/A
Das Kleine Gespenst,KOSMOS,N/A,N/A,N/A,N/A
Envelopes of Cash,Envelopes of Cash LLC,N/A,N/A,N/A,N/A
Jump Gate,"The Game Crafter, LLC",Matt Worden Games,N/A,N/A,N/A
Anagrams,(Public Domain),N/A,N/A,N/A,N/A
Zip-It,"Bananagrams, Inc.",N/A,N/A,N/A,N/A
"Oh No, Volcano!",Buffalo Games,N/A,N/A,N/A,N/A
Savage Bowl: Trick Taking Game,ぶれけけゲームズ (Burekeke Games),N/A,N/A,N/A,N/A
Robin,Flatlined Games,N/A,N/A,N/A,N/A
Oh-Wah-Ree,3M,The Avalon Hill Game Co,N/A,N/A,N/A
Danger in the Deep,moses. Verlag GmbH,Professor Puzzle Games,N/A,N/A,N/A
Veleno,ABRA,Dal Negro,Das Spiel,N/A,N/A
ボブジテン (Bob Jiten),TUKAPON,N/A,N/A,N/A,N/A
"Yalu: The Chinese Counteroffensive in Korea, November 1950 to May 1951",Conflict Games,Game Designers' Workshop (GDW Games),N/A,N/A,N/A
The Mediterranean,Clash of Arms Games,N/A,N/A,N/A,N/A
Karawane,HABA,N/A,N/A,N/A,N/A
The Three Days Of Gettysburg,GMT Games,N/A,N/A,N/A,N/A
IRONDIE,(Self-Published),Bluestar,Irondrake,N/A,N/A
Unlock! Kids: Stories From the Past,Space Cow,N/A,N/A,N/A,N/A
7: The Defense of Lwów,Instytut Pamięci Narodowej (IPN),N/A,N/A,N/A,N/A
Karak Goblin,Albi,N/A,N/A,N/A,N/A
Magic: The Gathering – Duel Decks: Merfolk Vs. Goblins,Wizards of the Coast,N/A,N/A,N/A,N/A
Parkies,"The Game Crafter, LLC",N/A,N/A,N/A,N/A
Cat Sudoku,Sunrise Tornado Game Studio,N/A,N/A,N/A,N/A
Molt soroll per un rei,SNAFU Design,N/A,N/A,N/A,N/A
This Is Not a Test: Post-Apocalyptic Skirmish Rules,Worlds End Publishing,N/A,N/A,N/A,N/A
Adventure Time Card Wars: Lemongrab vs. Gunter,Cryptozoic Entertainment,Edge Entertainment,Hobby World,N/A,N/A
The Tigers Are Burning,3W (World Wide Wargames),"Kokusai-Tsushin Co., Ltd. (国際通信社)",N/A,N/A,N/A
Supply Lines of the American Revolution: The Southern Strategy,Hollandspiele,N/A,N/A,N/A,N/A
A Song of Ice & Fire: Tabletop Miniatures Game – Targaryen Starter Set,CMON Global Limited,"Dark Sword Miniatures, Inc.",Edge Entertainment,N/A,N/A
Heart of Oak: Naval Miniatures Rules for the Age of Fighting Sail,Erisian Games,Fantasy Games Unlimited,N/A,N/A,N/A
"Oh No, Volcano!",Buffalo Games,N/A,N/A,N/A,N/A
Olympicards,999 Games,Giochi Uniti,N/A,N/A,N/A
Hell Hath No Fury,3W (World Wide Wargames),N/A,N/A,N/A,N/A
Marvel Villainous: Twisted Ambitions,Ravensburger,N/A,N/A,N/A,N/A
Battleground Fantasy Warfare: Dwarves of Runegard,Your Move Games,N/A,N/A,N/A,N/A
Aikamatka: Suomi,Lautapelit.fi,N/A,N/A,N/A,N/A
Turning the Tables,"Kokusai-Tsushin Co., Ltd. (国際通信社)",Moments in History,N/A,N/A,N/A
Burgenland,Ravensburger,N/A,N/A,N/A,N/A
TravelBattle,Perry Miniatures,N/A,N/A,N/A,N/A
Perplexus Twist,IELLO,Pegasus Spiele,Spin Master Ltd.,Super Impulse,N/A
Cruel Seas: Starter Set,Warlord Games,N/A,N/A,N/A,N/A
"Clash of Titans: The Tank Battle for Kursk, 1943","Kokusai-Tsushin Co., Ltd. (国際通信社)",Moments in History,N/A,N/A,N/A
Advanced Tobruk System Basic Game 1a: Screaming Eagles,"Critical Hit, Inc.",N/A,N/A,N/A,N/A
Veletas,(Web published),nestorgames,N/A,N/A,N/A
"Here, Fishy, Fishy!",HABA,N/A,N/A,N/A,N/A
Galaxy's Edge,Assa Games,N/A,N/A,N/A,N/A
Micro Monsters,Ares Games,Bard Centrum Gier,Red Glove,N/A,N/A
Global Powers,eggertspiele,N/A,N/A,N/A,N/A
Madness At Midnight,Mr. B Games,N/A,N/A,N/A,N/A
Remolacha,Boqueron Games,N/A,N/A,N/A,N/A
Zefiria,Playagame Edizioni,N/A,N/A,N/A,N/A
Guns of August,Worthington Games,N/A,N/A,N/A,N/A
Fury in the East,Multi-Man Publishing,N/A,N/A,N/A,N/A
Objective: Schmidt,The Gamers,N/A,N/A,N/A,N/A
Black It Out,(Web published),N/A,N/A,N/A,N/A
Semper Victor,Vae Victis,N/A,N/A,N/A,N/A
Anno 1452,Piatnik,N/A,N/A,N/A,N/A
フォグサイト (FOGSITE),Arclight Games,SoLunerG,N/A,N/A,N/A
Super Farmer,Amo Oy,Arial,danspil,Dr. Wood Challenge Centre,N/A
Biergarten,Blue Wing Games,Steamboat Gothic Studio,N/A,N/A,N/A
Monstertorte,HABA,"Nabita World co., Ltd.",N/A,N/A,N/A
Adlung Land,Adlung-Spiele,N/A,N/A,N/A,N/A
Pixel Glory: Light & Shadow,Zafty Games (Zafty),N/A,N/A,N/A,N/A
Decision in France,"Excalibre Games, Inc.","Kokusai-Tsushin Co., Ltd. (国際通信社)",Rhino Game Company,N/A,N/A
Linkee 3,Big Potato Games,John Adams (IDEAL),N/A,N/A,N/A
Way of the Fighter: Turbo,Ninja Division,Soda Pop Miniatures,N/A,N/A,N/A
Dutch Resistance: Orange Shall Overcome!,Liberation Game Design,N/A,N/A,N/A,N/A
Mediterráneo,Cacahuete Games,N/A,N/A,N/A,N/A
Close Assault: A Man-to-Man Game of Squad Tactics and Command – Europe 1939-1945,Yaquinto,N/A,N/A,N/A,N/A
Frag,Pegasus Spiele,Steve Jackson Games,N/A,N/A,N/A
El Soneto,Ludonova,N/A,N/A,N/A,N/A
Clash of Empires: The Battle for France 1914,3W (World Wide Wargames),Microgame Design Group,N/A,N/A,N/A
Great War at Sea / Second World War at Sea: Cone of Fire,Avalanche Press Ltd.,N/A,N/A,N/A,N/A
Voldétour,Arborel,N/A,N/A,N/A,N/A
Flink,nestorgames,N/A,N/A,N/A,N/A
Warzoo,Ace Studios,Galápagos Jogos,N/A,N/A,N/A
Qyshinsu: Mystery of the Way,"R. A. Frederickson, Inc.",N/A,N/A,N/A,N/A
Alice in Wordland,Drawlab Entertainment,N/A,N/A,N/A,N/A
Outer Earth,(Self-Published),(Web published),N/A,N/A,N/A
Yokohama Roll & Write,OKAZU Brand,N/A,N/A,N/A,N/A
Kings & Creatures,Zoch Verlag,N/A,N/A,N/A,N/A
Batman: The Animated Series – Rogues Gallery,IDW Games,N/A,N/A,N/A,N/A
The Great Race: Wild West and Far East,Platypus Game,N/A,N/A,N/A,N/A
101: le match,Spot Games,N/A,N/A,N/A,N/A
Piquet,(Public Domain),N/A,N/A,N/A,N/A
Arvuutin,Onni Games,N/A,N/A,N/A,N/A
Little Wars,(Unknown),Arms and Armour Press,DBA Skirmisher Publishing,Frank Palmer,N/A
Ace Detective,8th Summit,Arclight Games,N/A,N/A,N/A
Suspects: The MacGuffin Affair,Studio H,N/A,N/A,N/A,N/A
Control V,JoyEnjoy Inc.,N/A,N/A,N/A,N/A
Catan Junior Madagascar,DreamWorks,KOSMOS,N/A,N/A,N/A
La Der des Ders,Vae Victis,N/A,N/A,N/A,N/A
Stuka Leader,Dan Verssen Games (DVG),N/A,N/A,N/A,N/A
Lock 'n Load Tactical: Starter Kit,"Lock 'n Load Publishing, LLC.",N/A,N/A,N/A,N/A
Dragon Face,Blue Orange Games,N/A,N/A,N/A,N/A
Office 21,Smiling Monster Games,"Swan Panasia Co., Ltd.",Table Friends,N/A,N/A
SPY,One Moment Games,Perplext,N/A,N/A,N/A
The War: Europe 1939-1945,Compass Games,N/A,N/A,N/A,N/A
Friedland 1807,Canons en Carton,N/A,N/A,N/A,N/A
Lincoln's War,Multi-Man Publishing,N/A,N/A,N/A,N/A
Wrathborne Champions,Randover Games,N/A,N/A,N/A,N/A
Jitters,Hasbro,Milton Bradley,Virgo,N/A,N/A
Windup War,Bellwether Games,N/A,N/A,N/A,N/A
Unlur,(Web published),Consorci de Biblioteques Universitàries de…,N/A,N/A,N/A
Cocktail,Editorial SJS,Mal Hijo Games,N/A,N/A,N/A
Die Seher von Santiiba,Zoch Verlag,N/A,N/A,N/A,N/A
Gardeners,Sit Down!,N/A,N/A,N/A,N/A
Risk: Star Trek 50th Anniversary Edition,The Op,N/A,N/A,N/A,N/A
Windup War,Bellwether Games,N/A,N/A,N/A,N/A
Unlur,(Web published),Consorci de Biblioteques Universitàries de…,N/A,N/A,N/A
Cocktail,Editorial SJS,Mal Hijo Games,N/A,N/A,N/A
Die Seher von Santiiba,Zoch Verlag,N/A,N/A,N/A,N/A
Gardeners,Sit Down!,N/A,N/A,N/A,N/A
Risk: Star Trek 50th Anniversary Edition,The Op,N/A,N/A,N/A,N/A
Buffet Boss,Origame,N/A,N/A,N/A,N/A
800 Heroes: Defense of Sihang Warehouse,Battles Magazine,Bonsai Games,Formosa Force Games,N/A,N/A
One Earth,Cation Arts,N/A,N/A,N/A,N/A
ElfBall,Impact! Miniatures,N/A,N/A,N/A,N/A
Hand and Foot,(Public Domain),Fame Products,Tranco Co.,N/A,N/A
Attangle,(Web published),Bambus Spieleverlag,RamalamaS,N/A,N/A
FlipOut,Gamewright,Knightweaver Games,N/A,N/A,N/A
Strange Aeons,Uncle Mike's Worldwide,N/A,N/A,N/A,N/A
Jungle,(Public Domain),N/A,N/A,N/A,N/A
5150,Two Hour Wargames (THW Game Design),N/A,N/A,N/A,N/A
Outlaws: Last Man Standing,999 Games,Holy Grail Games,N/A,N/A,N/A
Chinagold,Bambus Spieleverlag,N/A,N/A,N/A,N/A
"Legion: Tactical Warfare in the Roman Age, 100BC-700AD","SPI (Simulations Publications, Inc.)",N/A,N/A,N/A,N/A
Swatch: The Abstract Game of Art,Minerva Tabletop Games,N/A,N/A,N/A,N/A
Expedite,Turnham Games,N/A,N/A,N/A,N/A
Phase 10 Twist,Fundex,"Mattel, Inc.",N/A,N/A,N/A
First Crusade 1097 - 1099,Decision Games (I),N/A,N/A,N/A,N/A
The Thin Red Line: A Game of the Battle of Waterloo,Yaquinto,N/A,N/A,N/A,N/A
Strategy I: Strategic Warfare 350BC to 1984,"SPI (Simulations Publications, Inc.)",N/A,N/A,N/A,N/A
Navíos de Línea: Trafalgar 1805,Trafalgar Editions,N/A,N/A,N/A,N/A
Before There Were Stars...,Smirk & Laughter Games,N/A,N/A,N/A,N/A
